casa,dominio,type_membre,site_publicado,status_1709,observacao
Triple Boris,tripleboris.com,43,https://tripleboris.com,ATS-ADP-VETO-ESCRITO,"ADP WorkForceNow cid dc8e2157, requisicao 1036 Candidature spontanee viva; veto escrito Autorisation de travail valide pour etre employe au Canada"
Kabam Montréal,kabam.com,"43,44",http://www.kabam.com,JS-SO-TOPO-DA-FILA,careers 200 com 17KB e so o titulo; quadro montado em JavaScript; casa grande em Montreal
Wathitdew Record™,wathitdew.com,"45,43",https://www.wathitdew.com,CATCH-ALL,catch-all de Wix no /about/careers
Ludociels pour tous,ludocielspourtous.org,"47,43",https://www.ludocielspourtous.org/,CATCH-ALL,"os nove caminhos devolvem 200 com 9,9 KB; e associacao"
Loopsin,loopsin.com,"45,43",https://www.loopsin.com/,DOSSIE-CF7-RECAPTCHA-V3,"formulario FR com dois campos de arquivo (cv, lettre-motivation); CF7 6.0.3 com _wpcf7_recaptcha_response sem data-size; agencia de colocacao"
Nekorai Studios,nekoraistudios.com,43,https://nekoraistudios.com/,FORA-DA-DISCIPLINA,"Odoo Recruitment; uma vaga, Developpeur de jeux em Godot, remoto temporario"
Studio Lazulite,studiolazulite.com,43,https://studiolazulite.com/,FORA-DA-DISCIPLINA,forms.gle e Studio Lazulite Contact Form de quatro campos; casa narrativa transmedia
AlwaysGeeky Games,voxies.io,43,https://www.voxies.io/,FORA-DA-DISCIPLINA,so QA Video Games Tester
Pappagallo Games,pappagallogames.com,43,https://pappagallogames.com,FORA-DA-DISCIPLINA,"Looking for Partners, regime de socio (Studio Manager, Art Director)"
The Tiny Digital Factory,tinydigitalfactory.com,43,http://www.tinydigitalfactory.com/,FORA-DA-DISCIPLINA,ATS Flatchr; Executive Producer e Lead Game Designer; casa de jogo de corrida
WildCard Games,wildcardmobile.com,43,https://wildcardmobile.com/,FORA-DO-PAIS,Apply on LinkedIn; beneficios em 401k indicam casa dos EUA
Vitam Aeternam Studio,vitamaeternamstudio.com,43,https://www.vitamaeternamstudio.com,LINK-DE-CARREIRA-NA-HOME,
Flying Carpets Games,flyingcarpetsgames.com,43,https://flyingcarpetsgames.com/,MAILTO-FILA-DE-CARTA,send us your portfolio por email
TREBUCHET,trebuchet.fun,"47,43",https://trebuchet.fun/,MAILTO-FILA-DE-CARTA,postuler a tout moment de l annee via jobs@trebuchet.fun; os dois forms do Fibery sao Support e Playtest
Folklore Games,folklore.games,43,http://folklore.games,PAREDE-DE-BORDA,Bot Verification em 1.667 bytes nos dois caminhos
