estudio,cidade,provincia,url,status_navegador,http,achado,observacao_curta
88 Pictures,Toronto,Ontario,http://88.pictures/,VIVO,200,JOBWORD,"""Skip to content 88 PICTURES PLAYME Animation VFX Games Content Creation Company WHAT WE DO We envision stories and engineer imagery by creating experiences that resonates universally. We create stori"
AIC Studios,Toronto,Ontario,http://www.aicstudios.ca/careers/,VIVO,200,JOBWORD,"""HOME ABOUT WORK PRESS CLIENTS CAREERS CONTACT CAREERS SENIOR SIMULATION FX ARTISTS - AIC Movie / AIC Studios is looking for talented Simulation FX Artists to join our team in Toronto to work on featu"
Accomplice Content Supply,Halifax,Nova Scotia,http://www.accomplicecontent.ca/careers/,VIVO,200,JOBWORD,"""FEATURED PORTFOLIO PEOPLE CAREERS CONTACT CURRENT OPENINGS GOT THE CHOPS? LET’S TALK Don’t see your dream job listed above? No stress. We’re always into meeting exciting people doing awesome s#!t in "
Alter Ego,Toronto,Ontario,http://www.alteregopost.com/careers/,VIVO,200,DISCIPLINA JOBWORD,"""Menu Do great work. Be kind. It’s really that simple at Alter Ego. Contact LOS ANGELES 3211 PICO BLVD. SANTA MONICA, CA 90405 424-209-8331 TORONTO 488 WELLINGTON ST. W, 4th FL TORONTO, ON M5V 1E3 416"
Animatrik Film Design,Vancouver,British Columbia,http://animatrik.com/,VIVO,200,,"""Skip to Content About Projects Services Blog Contact Performance Capture & Real-Time Filmmaking Video is not available or format is not supported. Try a different browser. Recent Projects View fullsi"
Arc VFX,Vancouver,British Columbia,https://www.arcvfx.com/opportunities,VIVO,404,JOBWORD,"""SERVICES WHY US FEATURED WORKS TEAM CONTACT US REAL-TIME VISUAL EFFECTS FOR FILM + TELEVISION ARCVFX IS A MOBILE, VIRTUAL PRODUCTION SERVICES COMPANY BASED IN VANCOUVER, BC. Leveraging decades of exp"
Atmosphere Visual Effects,Toronto,Ontario,http://www.atmosphere-vfx.com/jobs,VIVO,200,JOBWORD,"""HOME ABOUT SHOWREELS SHOWS JOBS CONTACT OPPORTUNITIES Thank you for your interest. Below is a variety of different job opportunities. SENIOR COMPOSITING ARTIST SENIOR FX ARTIST MENU Home About Showre"
Big Bad Boo Studios,Vancouver,British Columbia,http://bigbadboo.ca/careers,VIVO,200,JOBWORD,"""OUR SHOWS EDUCATION UNICEF WORK ACCOLADES NEWS ABOUT US CONTACT US Current Openings At Big Bad Boo Studios, we are always looking for talent in the animation industry. Whether you are a writer, chara"
Big Blue Bubble,London,Ontario,http://www.bigbluebubble.com/careers/,VIVO,200,JOBWORD,"""Home About Careers Games Store Merch Support Careers Find out what it's like to work at our studio Inclusivity. Honesty. Creativity. The core values that shape our studio and make it a great place to"
Big Studios,Toronto,Ontario,http://www.bigstudios.com/,VIVO,200,,"""Skip to Content Home About Work Contact WATCH THE FULL REEL ▶ Big Studios is a multi-award-winning artist-driven animation studio based in the heart of Toronto, Canada. Strategy We anticipate future "
By the Booth,Toronto,Ontario,http://bythebooth.com/contact/,VIVO,200,,"""Case Studies About Insights Start a Project Put your brand ideas social content website app brand in motion Have a campaign, launch, product story, or complex message that needs to move? Tell us what"
Cartoon Conrad Productions,Beaver Bank,Nova Scotia,http://cartoonconrad.com/,VIVO,200,JOBWORD,"""Home Team Productions Creations Contact/Jobs Reel Social More than just an animation studio! We are located on a beautiful and secluded woodland property in Beaver Bank near Halifax, Nova Scotia. Cen"
Certain Affinity,Toronto,Ontario,http://www.certainaffinity.com/career/,VIVO,200,JOBWORD,"""Skip to content What We Do Our Work Company Careers News Work With Us CAREERS Without extraordinarily talented people, we would not succeed. Come join our team. COME KICK ASS AND MAKE GAMES Advanced "
Chuck Gammage Animation,Hamilton,Ontario,http://www.cganim.com/,VIVO,200,,"""Our WorkAboutContact Characters tell the story Studio Chuck Gammage Animation is an award-winning boutique animation studio in downtown Toronto. We bring stories to life by creating unique 2D animati"
Classy Yak,Vancouver,British Columbia,https://www.classyyak.com/jobs,VIVO,502,,"""bridge error Hostname/IP does not match certificate's altnames: Host: www.classyyak.com. is not in the cert's altnames: DNS:*.squarespace.com, DNS:squarespace.com, DNS:*.campaign-preferences.com, DNS"
Clipwire Games,Toronto,Ontario,https://www.clipwiregames.com/careers,VIVO,404,JOBWORD,"""COPYRIGHT © 2026 CLIPWIRE GAMES ABOUT GAMES WE’RE HIRING! CONTACT PRIVACY POLICY TERMS OF SERVICE DO NOT SELL MY PERSONAL INFORMATION By using this website, you agree to our use of cookies. We use co"
Coal Car Studio,Vancouver,British Columbia,https://www.coalcar.ca/careers,VIVO,200,JOBWORD,"""HOME ABOUT SERVICES TEAM WORK ACCOLADES CAREERS CONTACT We're looking for you! Coal Car Studio is an award-winning Vancouver-based team passionate about immersive technology and pioneering new ways t"
Codename Entertainment,Victoria,British Columbia,http://www.codenameentertainment.com/,VIVO,200,JOBWORD,"""Codename Entertainment uses cookies to track your activity and keep you logged in while you're on our website. If you do not consent to our use of cookies in accordance with our Privacy Policy, pleas"
Craftshop Arts,Burnaby,British Columbia,http://www.craftshop-arts.com/,VIVO,200,,"""Skip to content Craft Arts Casinos Blog Contact Mad Streets Mad Streets, set to release in 2020 for all major platforms starting with Steam, promises an exhilarating experience for players seeking la"
Creative Storm Entertainment,Calgary,Alberta,https://www.creativestormentertainment.com/jobs,VIVO,404,,"""We couldn't find the page you were looking for. This is either because: There is an error in the URL entered into your web browser. Please check the URL and try again. The page you are looking for ha"
Deluxe VFX,Toronto,Ontario,http://www.bydeluxe.com/careers,VIVO,200,JOBWORD,"""Skip to Content What We Do Who We Are Careers English Contact Us CAREERS DISCOVER YOUR OPPORTUNITY TO ACCELERATE THE ERA OF ENTERTAINMENT. Investing in people is our top priority and ensures we have "
DoubleDot Studios,Toronto,Ontario,http://www.doubledot-studios.com/,VIVO,200,,"""Home What we are known for Projects Demo Reels School Contact Us About Us Adorable lovely characters, delightful designs, smooth beautiful animates, becoming more experienced with each project, unfor"
Down Smash Studios,Toronto,Ontario,http://www.downsmashstudios.com/#/home,VIVO,200,JOBWORD,"""Games About Careers Contact Rodent Rumble is coming soon! Play with friends and battle through a series of games to be the squirrel on top! www.rodentRumble.com wishlist on Steam JOIN US ON DISCORD ©"
Embreate,Toronto,Ontario,http://embreate.com/join-us/,VIVO,404,JOBWORD,"""Skip to Content About Our Services Projects Creator Coaching News 0 COLLABORATE WITH US We couldn't find the page you were looking for. This is either because: There is an error in the URL entered in"
Emerald City Games,Vancouver,British Columbia,https://www.emeraldcitygames.ca/careers,VIVO,404,,"""By using this website, you agree to our use of cookies. We use cookies to provide you with a great experience and to help our website run effectively. Decline Accept Skip to Content Home Games About "
Fort York VFX,Toronto,Ontario,http://www.fortyork.tv/,VIVO,200,,"""Skip to Content WORK VFX COLOUR ABOUT PARAMOUNT+ Crime Goat ROGERS TIFF 50 BMO Window Washers PARAMOUNT+ Gladiator COLOUR REEL 2025 ROGERS XFINITY All At Once PEPSICO | LAY’S The Bet KRAFT Pure Pour "
Fun Square VFX Productions,Vancouver,British Columbia,http://fun2pro.com/,VIVO,200,DISCIPLINA JOBWORD,"""Home Projects About Partners Showreel Contact DISCOVER OUR WORK \""DARC\"" \""You Me Her\"" \""Rocky Mountain Christmas\"" \""Somewhere Between\"" \""Date with Love\"" \""Chesapeake Shores\"" GET TO KNOW US Fun "
Fusion CI Studios,Vancouver,British Columbia,http://fusioncis.com/,VIVO,200,JOBWORD,"""Work with us! FUSION C I STUDIOS... FUSION C I STUDIOS... OUR DESIGN COLLECTION... OUR DESIGN COLLECTION... OUR PHILOSOPHY... OUR PHILOSOPHY... Unique. Innovative. Extraordinary. We believe the combi"
Go2 Productions,Vancouver,British Columbia,http://www.go2productions.com/,VIVO,200,JOBWORD,"""Skip to content Services Portfolio Blog About More Contact Immersive Experiences for Events Conferences Branding Marketing Entertainment Tradeshows Everything. Changing the way people experience the "
Gus VFX (aka IGLOO),Toronto,Ontario,http://www.gusvfx.com/igloo/,VIVO,200,JOBWORD,"""PROJECTS Production Profile Reels Breakdowns btx IGLOO IGLOO is a boutique visual effects, design and film studio located in the heart of Toronto /// KEY PEOPLE /// Gustavo Fernandes // Visual Effect"
Hatch Studios,Toronto,Ontario,http://hatchstudios.com/,VIVO,200,,"""HOME ABOUT US PROCESS STYLES SERVICES INDUSTRIES WORK BLOG LOCATIONS CONTACT Animation & Motion Graphics Animated Video Production Services As a leading animation & motion graphics studio in Toronto,"
Head Gear Animation,Toronto,Ontario,http://www.headgearanimation.com/,VIVO,200,,"""Head Gear offers all kinds of visual delights for clients around the world. Work Techniques The Production Process 2D Animation Stop Motion Animation Live Action/Combo Mixed Media About Us Get In Tou"
Hydraulx,Vancouver,British Columbia,http://www.hydraulx.com/,VIVO,200,JOBWORD,"""NEWS OUR WORK ABOUT CONTACT CAREERS instagram facebook twitter linkedIn imdb NEWS OUR WORK ABOUT CONTACT CAREERS instagram facebook twitter linkedIn imdb VIEW COMPANY REEL VIEW PROJECT RAMPAGE VIEW P"
Intelligent Creatures,Toronto,Ontario,https://intelligent-creatures.breezy.hr/,VIVO,404,JOBWORD,"""breezy 404 There's no career portal here We couldn't find a career portal at this address. It may have moved, or the company may no longer be hiring with Breezy HR. If you followed a link to a job po"
Kindly Beast,Ottawa,Ontario,https://kindlybeast.com/jobs,VIVO,502,,"""bridge error Hostname/IP does not match certificate's altnames: Host: kindlybeast.com. is not in the cert's altnames: DNS:*.squarespace.com, DNS:squarespace.com, DNS:*.campaign-preferences.com, DNS:c"
LPX Digital,Toronto,Ontario,http://www.lpxdigital.com/,VIVO,200,,"""We use cookies Our website uses cookies to ensure proper functionality, enhance user experience, and analyze traffic. By clicking “Accept All,” you consent to the use of cookies in accordance with ou"
Linetest,Vancouver,British Columbia,http://linetest.tv/,VIVO,200,,"""Skip to Content Home Projects About Fun Contact Video is not available or format is not supported. Try a different browser. Linetest elevates brands through the craft of illustration & animation. Mor"
Loogaroo,Miramichi,New Brunswick,http://www.loogaroo.com/,VIVO,200,,"""Animated fun for hire Bio | Crew | Contact Up Late with Stewie and Brian Technique Run Rap Off Music Video Prefab! Documentary Three Delivery TV Series Axe Cop TV Series Mall America Non Broadcast De"
Look Mom! Productions,Toronto,Ontario,http://lookmomproductions.com/,VIVO,200,JOBWORD,"""Skip to main content BLUE ANT MEDIA Nothing connects like a good story. INVESTOR RELATIONS ABOUT US CORPORATE MANAGEMENT TEAM BOARD OF DIRECTORS OUR NEWS CAREERS GLOBAL CHANNELS + STREAMING GLOBAL CH"
Lookout,Toronto,Ontario,http://lookoutcontent.com/home,VIVO,404,,"""404. THE PAGE IS NOT FOUND. 404. THE PAGE IS NOT FOUND. 404. THE PAGE IS NOT FOUND. 404. THE PAGE IS NOT FOUND. 404. THE PAGE IS NOT FOUND. 404. THE PAGE IS NOT FOUND. 404. THE PAGE IS NOT FOUND. 404"
Lucky VR,Toronto,Ontario,https://lucky-vr.breezy.hr/,VIVO,404,JOBWORD,"""breezy 404 There's no career portal here We couldn't find a career portal at this address. It may have moved, or the company may no longer be hiring with Breezy HR. If you followed a link to a job po"
Lux Visual Effects,Vancouver,British Columbia,http://www.luxvfx.com/,VIVO,200,,"""WORK MASKERADE CONTACT LUX VFX BOUTIQUE SHOW REEL LUX VISUAL EFFECTS HOME WORK MASKERADE 14 - 38936 QUEENS WAY SQUAMISH, BC. V8B 0V2 info@luxvfx.com 604-608-0589 LET'S MAKE VFX MAGIC! We always love "
META Productions,Calgary,Alberta,https://www.metaproductions.ca/,VIVO,502,,"""bridge error Hostname/IP does not match certificate's altnames: Host: www.metaproductions.ca. is not in the cert's altnames: DNS:*.squarespace.com, DNS:squarespace.com, DNS:*.campaign-preferences.com"
Mavericks VFX,Toronto,Ontario,http://mavericks-vfx.com/opportunities/,VIVO,200,JOBWORD,"""SKIP TO CONTENT ABOUT WORK OPPORTUNITIES CREATIVE SERVICES CONTACT Opportunities We’d love to hear from you if you’ve got what it takes to join our team! Take a look at the postings below to find out"
Merge Motion,Vancouver,British Columbia,http://mergemotion.com/jobs/,VIVO,404,,"""Home Over ons Producten Elektrische aandrijflijn CANbus-BOX EasyDC Contact Home Over ons Producten Elektrische aandrijflijn CANbus-BOX EasyDC Contact Neem contact op 555-555-5555 mijnmail@mailservice"
Metanaut,Vancouver,British Columbia,http://metanautvr.com/careers/,VIVO,200,JOBWORD,"""ABOUT PROJECTS BLOG CONTACT CAREERS ABOUT PROJECTS BLOG CONTACT CAREERS Hello 👋🏻 At Metanaut, you’ll work on ground-breaking VR / AR / MR experiences using cutting-edge technologies. Take a look arou"
Nelvana Studio,Toronto,Ontario,http://www.corusent.com/corus-careers/,VIVO,200,JOBWORD,"""Corus Entertainment Menu Work with US Great careers begin here. EXPLORE OPPORTUNITIES What We Do. As Canada’s leading pure-play media and content powerhouse, you’ll recognize our brands across a mult"
New Realm Studios,Toronto,Ontario,http://www.newrealmstudios.ca/en,VIVO,200,,"""Skip to content OUR WORKS ABOUT US New Realm Studios Inc. started in Toronto in 2010. We make TV shows and online content in Chinese, and people all over the world can watch them. We want everyone wh"
Nexus Media,Vancouver,British Columbia,http://nexusmedias.com/careers.html,VIVO,200,JOBWORD,"""Home Paragon Kingdom: Arena Monster Warrior: Adventure Octo Pirate Careers About Us Contact Sitemap Careers We are looking for highly passionate talents to join our experienced team to deliver world "
Occupied VR,Toronto,Ontario,http://occupiedvr.com/,VIVO,200,,"""Complex designs, for effortless experiences. oc·cu·pied OC·CU·PIED OC·CU·PIED Occupied makes the highest-quality virtual and mixed reality experiences for multiple platforms and viewing experiences. "
PIP Animation Studios,Ottawa,Ontario,http://www.pipanimation.com/w5/,VIVO,200,JOBWORD,"""Logo HOME INSIDE PIP TV SERIES FEATURES & ONE-OFFS SHOWREEL BUZZ CONTACT US Jamie's Paper Train Get your ticket and hang on tight Kit The Kat & Dot \""Purr-fectly Rude Awakening\"" Cyberchase XV Help J"
Pix Ray VFX,Toronto,Ontario,http://pixray.ca/contact,VIVO,200,JOBWORD,"""Skip to Content HOME WORK ABOUT CONTACT JOIN US Have a potential project or collaboration that you’d like to discuss, reach out to studio@pixray.ca Get in Touch Creating Immersive Visual Experiences "
