# TOKENS DE ATS POR FAMILIA - LISTA VERSIONADA, 18/09/2026 08h36 UTC (Jhon A, 17o turno)
#
# POR QUE ESTE ARQUIVO EXISTE: ate hoje cada varredura remontava a fila de tokens por REGEX
# SOBRE URL nos arquivos do repositorio, e isso apagava silenciosamente todo token que mora
# numa COLUNA `token` e nunca foi escrito como URL. Medido em 18/09: 147 tokens invisiveis a
# regex de URL (Ashby +30 sobre 24, BambooHR +41 sobre 87, Lever +20 sobre 27, Teamtailor +17,
# Greenhouse +14, Workable +14, Recruitee +10, SmartRecruiters +1). A varredura de 00h41 e a
# minha das 08h30 rodaram as duas sobre a lista curta. Varredos os 147 na janela de 18/09:
# 2.843 vagas a mais, 123 publicadas a mais, ZERO acerto da disciplina - o buraco era de
# COBERTURA e nao de resultado, mas ninguem podia saber isso antes de medir.
#
# COMO USAR: leia ESTE arquivo para montar a fila. Nao remonte por regex.
#
# COLUNA origem
#   url    -> o token aparece como URL em algum arquivo (era o que a regex achava)
#   coluna -> o token SO existe como coluna `token`; era invisivel para toda varredura anterior
#
# COLUNA adivinhado - e a parte que mais importa no Teamtailor
#   sim      -> token que entrou por ADIVINHACAO DE SLUG na rodada de 10/09
#               (quadros-tt-rec-1545-1009.csv) e cuja identidade NUNCA foi conferida contra o
#               nome da casa. 00h41 de hoje mediu que 77% do volume e 91% da recencia da
#               familia Teamtailor vinham daqui, e que o campo `title` do JSON Feed DESMENTE o
#               slug um por um: `house` e a Iam, `rhino` e a Diamond, `seven` e a Baar,
#               `habitat` e a HEALTH CITY, `black` e a Eventus, `butter` e a All Gravy.
#               NAO CONTE a vaga desses tokens sem comparar `title` com o nome da casa.
#   suspeito -> veio da rodada de adivinhacao de 10/09 e DEPOIS foi promovido para o
#               docs/index.html ou para o processados.csv. A promocao nao e prova de
#               identidade: pode ter sido a propria rodada de adivinhacao que o promoveu.
#   nao      -> o token tem origem independente da rodada de adivinhacao.
#
# ARMADILHA MEDIDA HOJE, E ELA ESTA DENTRO DE UM ARQUIVO DESTE REPOSITORIO: a coluna
#   `conferido` do quadros-fora-censo-1209.csv registra LEITURA CONFERIDA, nao IDENTIDADE
#   CONFERIDA. Ela diz `SIM` para `black`, `habitat`, `seven` e `butter` - os quatro que 00h41
#   provou serem casa nenhuma da area. Aquele arquivo apenas RETESTOU a mesma lista adivinhada,
#   entao ele NAO e evidencia independente e nao promove token a real. Por isso, aqui,
#   quadros-fora-censo-1209.csv nao conta como origem independente.
#
# ATENCAO SMARTRECRUITERS: o endpoint NAO e sensivel a caixa da letra e a lista antiga tinha dez
#   pares duplicados que so diferiam na caixa, e eram justamente os quadros GRANDES (Ubisoft2,
#   KeywordsStudios, NBCUniversal3, CDPROJEKTRED, MattelInc, PeopleCanFly, RodeoFX, OutpostVFX,
#   TechlandSA, GIANTSSoftwareGmbH), o que inflava a familia em ~91%. Aqui os tokens estao em
#   MINUSCULO e unicos; conte vaga por ID UNICO, nunca por quadro lido.
#
# ATENCAO WORKABLE: o 429/1015 vem com cabecalho Retry-After de 15.062 a 17.199 segundos
#   (4h11 a 4h47), medido em 18/09. A familia rende no maximo UMA leitura por token a cada
#   ~5 horas: varredura de uma vez ao dia, nunca de todo turno.
#
#
# 18/09 10h30 UTC (Jhon A, 18o turno) - COLUNAS NOVAS `identidade`, `nome_real`, `vagas_1809`:
#   a IDENTIDADE REAL dos 131 tokens adivinhados (+30 suspeitos) foi lida DE GRACA, sem
#   requisicao extra alem da propria leitura do quadro: `title` do JSON Feed no Teamtailor e
#   `company_name` da oferta no Recruitee. Nada foi apagado; as colunas velhas estao intactas.
#   valores: casa-real  = o nome devolvido e de casa de jogo/animacao/VFX de verdade
#            homonimo   = o quadro responde, mas o nome e de OUTRA empresa fora da disciplina
#            vazio      = quadro sem identidade legivel (Recruitee sem oferta, ou HTTP 404)
#            nao-aplica = token de origem independente, nao entrou nesta conferencia
#   MEDIDO: 161 tokens lidos, 47 casa-real, 103 homonimo, 11 vazio.
#   O Recruitee ainda REDIRECIONA o slug falso para o slug verdadeiro (sisu -> silverein), o que
#   e prova mais forte que o company_name: a URL final do curl entrega o locatario real.
#
# 18/09 10h40 UTC - ADENDO DO MESMO TURNO: a conferencia de identidade foi ESTENDIDA aos 95
#   tokens de Teamtailor e Recruitee de origem INDEPENDENTE (os que estavam `nao-aplica`),
#   porque nessas duas familias a identidade sai de graca e deixar 'NAO CONFERIDO' escrito
#   custava o mesmo que medir. RESULTADO: 56 casa-real, 8 HOMONIMO e 31 vazio/404.
#   HOMONIMOS de origem independente, ou seja o erro NAO era so da rodada de adivinhacao:
#     recruitee/airworks = Airworks Inflatables BV ; recruitee/headfirst = HeadFirst B.V.
#     recruitee/grafischlyceumutrecht = escola ; teamtailor/parkerschauffeurs = motoristas
#     teamtailor/podimo = podcast ; teamtailor/egmont = editora ; teamtailor/presto
#     teamtailor/clickoutmedia = midia de afiliados
#   ALIAS MORTO: 23 tokens de Teamtailor e 8 de Recruitee respondem 404/erro e varios sao o
#   MESMO quadro escrito de outro jeito - paradox/paradoxinteractive/paradoxplaza (so
#   paradox-interactive vive), sybogames (so sybo), stunlockstudios (so stunlocksstudios),
#   goodbyekansasstudios (so goodbyekansas), envar (so envarstudio), fundagames (so
#   fundaygames), snowprint (so snowprintstudios). Contar token e contar quadro NAO e a
#   mesma coisa, e a diferenca aqui e de 31 em 95.
familia,token,origem,adivinhado,arquivos_de_origem,identidade,nome_real,vagas_1809
ashby,alden,coluna,nao,"censo-artstation-ats-1709.csv",nao-aplica,,
ashby,aleph,coluna,nao,"censo-artstation-ats-1709.csv",nao-aplica,,
ashby,arena,url,nao,"quadros-dominio-1609.csv",nao-aplica,,
ashby,arenanet,coluna,nao,"censo-artstation-ats-1709.csv",nao-aplica,,
ashby,badrobotgames,url,nao,"quadros-novos-wikidata-1509.csv",nao-aplica,,
ashby,biggergames,coluna,nao,"censo-artstation-ats-1709.csv",nao-aplica,,
ashby,block-labs,coluna,nao,"censo-artstation-ats-1709.csv",nao-aplica,,
ashby,bumble,url,nao,"quadros-dominio-1609.csv",nao-aplica,,
ashby,cardboard,url,nao,"quadros-dominio-1609.csv",nao-aplica,,
ashby,chromatic,url,nao,"quadros-dominio-1609.csv",nao-aplica,,
ashby,codeway,coluna,nao,"censo-artstation-ats-1709.csv",nao-aplica,,
ashby,colonist,coluna,nao,"quadros-novos-1009.csv",nao-aplica,,
ashby,company,url,nao,"quadros-dominio-1609.csv",nao-aplica,,
ashby,customuse,coluna,nao,"censo-artstation-ats-1709.csv",nao-aplica,,
ashby,everai,coluna,nao,"censo-artstation-ats-1709.csv",nao-aplica,,
ashby,fable,coluna,nao,"censo-artstation-ats-1709.csv",nao-aplica,,
ashby,found,coluna,nao,"censo-artstation-ats-1709.csv",nao-aplica,,
ashby,frontier,url,nao,"quadros-dominio-1609.csv",nao-aplica,,
ashby,gardens,url,nao,"censo-boards-0709.csv;censo-boards-0809.csv;index.html",nao-aplica,,
ashby,genera,coluna,nao,"censo-artstation-ats-1709.csv",nao-aplica,,
ashby,genesis,coluna,nao,"censo-artstation-ats-1709.csv",nao-aplica,,
ashby,genies,coluna,nao,"censo-artstation-ats-1709.csv",nao-aplica,,
ashby,glow,coluna,nao,"censo-artstation-ats-1709.csv",nao-aplica,,
ashby,gravity,url,nao,"quadros-dominio-1609.csv",nao-aplica,,
ashby,hackerone,coluna,nao,"censo-artstation-ats-1709.csv",nao-aplica,,
ashby,hivemind,coluna,nao,"censo-artstation-ats-1709.csv",nao-aplica,,
ashby,hook,url,nao,"quadros-dominio-1609.csv",nao-aplica,,
ashby,hyperhug,url,nao,"index.html;quadros-fora-censo-1209.csv",nao-aplica,,
ashby,interplay,url,nao,"quadros-dominio-1609.csv",nao-aplica,,
ashby,latitude,coluna,nao,"quadros-novos-1009.csv",nao-aplica,,
ashby,limbic,url,nao,"quadros-dominio-1609.csv",nao-aplica,,
ashby,nirvana,coluna,nao,"censo-artstation-ats-1709.csv",nao-aplica,,
ashby,parallax,url,nao,"quadros-novos-wikidata-1509.csv",nao-aplica,,
ashby,parity,coluna,nao,"censo-artstation-ats-1709.csv",nao-aplica,,
ashby,patreon,url,nao,"quadros-dominio-1609.csv",nao-aplica,,
ashby,pingo,url,nao,"quadros-dominio-1609.csv",nao-aplica,,
ashby,polygon-labs,coluna,nao,"censo-artstation-ats-1709.csv",nao-aplica,,
ashby,prodigy-education,coluna,nao,"quadros-fora-censo-1209.csv",nao-aplica,,
ashby,quorum,coluna,nao,"censo-artstation-ats-1709.csv",nao-aplica,,
ashby,rain,url,nao,"processados.csv",nao-aplica,,
ashby,redlygames,coluna,nao,"quadros-fora-censo-1209.csv",nao-aplica,,
ashby,savvy,coluna,nao,"censo-artstation-ats-1709.csv",nao-aplica,,
ashby,seconddinner,url,nao,"censo-boards-0709.csv;censo-boards-0809.csv;fila-remotegamejobs-estudios.csv;quadros-novos-wikidata-1509.csv",nao-aplica,,
ashby,stellarentertainment,url,nao,"censo-boards-0709.csv;censo-boards-0809.csv;index.html",nao-aplica,,
ashby,supercell,url,nao,"censo-boards-0709.csv;censo-boards-0809.csv;index.html",nao-aplica,,
ashby,textla,coluna,nao,"censo-artstation-ats-1709.csv",nao-aplica,,
ashby,thatgamecompany,url,nao,"censo-boards-0709.csv;censo-boards-0809.csv;index.html;personagem-quadros-1009.csv",nao-aplica,,
ashby,transfr,coluna,nao,"censo-artstation-ats-1709.csv",nao-aplica,,
ashby,tribe-ai,coluna,nao,"censo-artstation-ats-1709.csv",nao-aplica,,
ashby,triumph-arcade,coluna,nao,"censo-artstation-ats-1709.csv",nao-aplica,,
ashby,vizcom,coluna,nao,"censo-artstation-ats-1709.csv",nao-aplica,,
ashby,voldex,url,nao,"index.html;processados.csv;quadros-fora-censo-1209.csv;quadros-novos-1009.csv",nao-aplica,,
ashby,volka,url,nao,"censo-boards-0709.csv;censo-boards-0809.csv;index.html;processados.csv",nao-aplica,,
ashby,voodoo,url,nao,"quadros-novos-wikidata-1509.csv",nao-aplica,,
bamboohr,acamarfilms,url,nao,"processados.csv",nao-aplica,,
bamboohr,afternow,coluna,nao,"censo-artstation-ats-1709.csv",nao-aplica,,
bamboohr,amazing,url,nao,"quadros-dominio-1609.csv",nao-aplica,,
bamboohr,amuseanimation,url,nao,"censo-boards-0709.csv;censo-boards-0809.csv;index.html",nao-aplica,,
bamboohr,app,url,nao,"index.html;processados.csv",nao-aplica,,
bamboohr,aquifer,coluna,nao,"censo-artstation-ats-1709.csv",nao-aplica,,
bamboohr,arcana,url,nao,"quadros-dominio-1609.csv",nao-aplica,,
bamboohr,archiactinteractive,url,nao,"index.html;quadros-fora-censo-1209.csv",nao-aplica,,
bamboohr,ascend,coluna,nao,"censo-artstation-ats-1709.csv",nao-aplica,,
bamboohr,aura,coluna,nao,"censo-artstation-ats-1709.csv",nao-aplica,,
