# CENSO PINPOINT x PERSONIO x SMARTRECRUITERS - Joe, 21/09/2026 04h35-05h5x UTC. So curl, zero navegador, zero envio.
# O QUE E: os 3.358 slugs de casa do censo-artstation-1709.csv, mais a variante sem hifen (5.725 slugs distintos),
#   sondados nas TRES familias que o censo de 17/09 NAO cobriu. O de 17/09 cobriu Greenhouse, Lever, Ashby,
#   Teamtailor, Recruitee, Breezy e BambooHR; estas tres ficaram de fora e nunca tinham sido sondadas com este dicionario.
# TOTAL: 17.175 requisicoes (5.725 x 3). Aqui estao SO as respostas positivas; o resto e inexistente e nao interessa guardar.
# NAO CONFERIDO: 3 sondagens devolveram codigo 000 ou ERR (1 em cada familia). Nunca conte isso como zero.
#
# ORACULOS, com o controle de cada um medido nesta rodada:
#   pinpoint        GET https://<slug>.pinpointhq.com/postings.json  -> 200 = CONTA existe | 404 (11.684 bytes) = nao existe
#                   CONTROLE: naoexiste999xyz, zzqqwwertyuiop e pixarcharacterhouse9 deram 404 os tres.
#   personio        GET https://<slug>.jobs.personio.de/             -> 200 = locatario existe | 307 = nao existe
#                   NAO use /xml: ele devolveu 404 em 2 de 8 locatarios VIVOS (3dqr-gmbh, hfv). /search.json deu 200 em 8 de 8.
#   smartrecruiters GET https://api.smartrecruiters.com/v1/companies/<slug>/postings?limit=1 -> le totalFound
#                   ATENCAO: slug inexistente devolve 200 com 50 bytes e totalFound=0, NAO 404. O oraculo e o totalFound.
#
# A ARMADILHA QUE ESTA RODADA MEDIU, E ELA INVALIDA CONTAGEM POR BYTE NO PINPOINT:
#   postings.json devolve o conjunto de DEMONSTRACAO do Pinpoint (Head of DEI - Belfast / - US / - UK,
#   Marketing Manager, Customer Service Rep, em Londres/Paris/Nova York) em 11 dos 20 locatarios sondados,
#   INCLUSIVE em framestore.pinpointhq.com, com 26.307 bytes de JSON que parecem reais (tem texto de beneficios e de DEI).
#   O discriminador e a string 'Head of DEI' no corpo. Quem conta bytes ou conta itens registra 11 quadros onde existem ZERO.
#
# RENDIMENTO HONESTO: 40 contas achadas, e casa INEDITA E da disciplina = UMA, a Unbroken Studios.
#   O dicionario do ArtStation e feito de indie minusculo e de empresa de tecnologia homonima, e isso agora
#   esta medido tambem nestas tres familias, nao so nas oito de 17/09.
#
# COLUNAS: familia,slug,casa,http,tamanho_ou_vagas,veredito
familia,slug,casa,http,tamanho_ou_vagas,veredito
pinpoint,ajaxcreative,Ajax Creative,200,40281,"CONTA REAL, conteudo de DEMONSTRACAO (string ""Head of DEI"" no corpo) = quadro NUNCA POVOADO"
pinpoint,bendingspoons,Bending Spoons,200,41303,"CONTA REAL com vaga de verdade (sem ""Head of DEI"")"
pinpoint,biggergames,Bigger Games,200,42204,"CONTA REAL, conteudo de DEMONSTRACAO (string ""Head of DEI"" no corpo) = quadro NUNCA POVOADO"
pinpoint,bildstudios,Bild Studios,200,11,"CONTA REAL, ZERO vaga publicada ({""data"":[]})"
pinpoint,firstderivative,First Derivative,200,26325,"CONTA REAL, conteudo de DEMONSTRACAO (string ""Head of DEI"" no corpo) = quadro NUNCA POVOADO"
pinpoint,genesis,Genesis Global,200,11,"CONTA REAL, ZERO vaga publicada ({""data"":[]})"
pinpoint,jetson,Jetson,200,11,"CONTA REAL, ZERO vaga publicada ({""data"":[]})"
pinpoint,labster,Labster,200,40256,"CONTA REAL, conteudo de DEMONSTRACAO (string ""Head of DEI"" no corpo) = quadro NUNCA POVOADO"
pinpoint,netvrk,NETVRK,200,11,"CONTA REAL, ZERO vaga publicada ({""data"":[]})"
pinpoint,outform,OUTFORM,200,26293,"CONTA REAL, conteudo de DEMONSTRACAO (string ""Head of DEI"" no corpo) = quadro NUNCA POVOADO"
pinpoint,penumbrainc,Penumbra Inc.,200,26305,"CONTA REAL, conteudo de DEMONSTRACAO (string ""Head of DEI"" no corpo) = quadro NUNCA POVOADO"
pinpoint,plexus,Plexus,200,40240,"CONTA REAL, conteudo de DEMONSTRACAO (string ""Head of DEI"" no corpo) = quadro NUNCA POVOADO"
pinpoint,productionclub,Production Club,200,40284,"CONTA REAL, conteudo de DEMONSTRACAO (string ""Head of DEI"" no corpo) = quadro NUNCA POVOADO"
pinpoint,puttshack,Puttshack,200,37216,"CONTA REAL, conteudo de DEMONSTRACAO (string ""Head of DEI"" no corpo) = quadro NUNCA POVOADO"
pinpoint,simwave,Simwave,200,40267,"CONTA REAL, conteudo de DEMONSTRACAO (string ""Head of DEI"" no corpo) = quadro NUNCA POVOADO"
pinpoint,spiralyze,Spiralyze,200,423354,"CONTA REAL com vaga de verdade (sem ""Head of DEI"")"
pinpoint,structurefi,Structure Financial,200,11,"CONTA REAL, ZERO vaga publicada ({""data"":[]})"
